ID,beaching_flag,time_start,time_end,drifter_id,latitude_start,latitude_end,longitude_start,longitude_end,velocity_east,velocity_north
358,False,2014-12-06 07:00:00,2014-12-07 07:00:00,300234060759420,57.29289,57.19112,-152.56522,-152.84895,-0.2899,-0.2168
359,False,2014-12-07 07:00:00,2014-12-08 07:00:00,300234060759420,57.19112,57.08812,-152.84895,-153.19925,-0.1062,-0.248
664,False,2014-12-11 16:00:00,2014-12-12 16:00:00,300234061513850,62.92183,62.93811,-71.62038,-71.58944,-0.0053,0.7604
665,False,2014-12-17 10:00:00,2014-12-18 10:00:00,300234061513850,62.99411,62.9622,-71.48244,-71.19005,0.1132,-0.0368
216,False,2014-12-24 12:00:00,2014-12-25 12:00:00,300234060205090,38.36495,38.65053,-28.60788,-28.86252,0.0392,0.462
716,False,2015-01-22 14:00:00,2015-01-23 14:00:00,300234061666340,63.72025,63.7786,-22.34528,-22.34774,0.1098,0.1884
717,False,2015-01-24 18:00:00,2015-01-25 18:00:00,300234061666340,63.72989,63.86008,-21.41914,-21.1461,-0.2782,0.46
456,False,2015-01-29 11:00:00,2015-01-30 11:00:00,300234060957420,58.72697,58.96527,151.3625,151.22153,-0.4704,0.2607
457,False,2015-01-30 11:00:00,2015-01-31 11:00:00,300234060957420,58.96527,59.15811,151.22153,151.13702,-0.0351,0.1834
458,False,2015-01-31 11:00:00,2015-02-01 11:00:00,300234060957420,59.15811,59.11529,151.13702,151.18134,-0.1593,-0.0989
313,False,2015-01-31 13:00:00,2015-02-01 13:00:00,300234060657110,-5.32818,-5.41442,71.64604,71.74335,0.2941,-0.037
459,False,2015-02-01 11:00:00,2015-02-02 11:00:00,300234060957420,59.11529,59.03766,151.18134,150.99098,-0.2927,-0.1389
314,True,2015-02-01 13:00:00,2015-02-02 13:00:00,300234060657110,-5.41442,-5.4606,71.74335,71.79402,0.118,-0.1406
84,False,2015-02-09 19:00:00,2015-02-10 19:00:00,300234011460700,63.33457,63.3091,-20.83446,-20.27989,0.0912,0.1917
85,False,2015-02-14 14:00:00,2015-02-15 14:00:00,300234011460700,63.20687,63.38504,-20.66939,-20.6288,-0.345,0.3995
607,False,2015-02-14 14:00:00,2015-02-15 14:00:00,300234061503010,10.23356,10.1556,114.4793,114.38757,-0.0813,0.0213
86,False,2015-02-15 14:00:00,2015-02-16 14:00:00,300234011460700,63.38504,63.37226,-20.6288,-20.0787,0.1616,-0.0722
87,False,2015-02-18 17:00:00,2015-02-19 17:00:00,300234011460700,63.40248,63.30807,-19.64995,-18.83881,0.0548,0.2571
619,False,2015-02-24 16:00:00,2015-02-25 16:00:00,300234061504350,25.46952,25.52623,141.16437,141.28606,0.3389,-0.0577
620,False,2015-02-27 16:00:00,2015-02-28 16:00:00,300234061504350,25.5191,25.39754,141.36996,141.29628,-0.036,-0.1369
621,False,2015-02-28 16:00:00,2015-03-01 16:00:00,300234061504350,25.39754,25.32975,141.29628,141.326,-0.1962,-0.084
133,False,2015-03-03 22:00:00,2015-03-04 22:00:00,300234011791240,54.47664,54.47886,-8.82456,-8.7165,0.0665,-0.1443
134,False,2015-03-04 22:00:00,2015-03-05 22:00:00,300234011791240,54.47886,54.57373,-8.7165,-8.61498,0.1118,0.1668
639,False,2015-03-08 17:00:00,2015-03-09 17:00:00,300234061508320,19.99865,19.8089,111.06802,111.06424,-0.0709,-0.577
622,False,2015-03-09 02:00:00,2015-03-10 02:00:00,300234061504350,25.48162,25.46356,141.16193,141.31026,0.4762,0.3256
640,False,2015-03-09 17:00:00,2015-03-10 17:00:00,300234061508320,19.8089,19.55907,111.06424,110.9744,0.043,-0.2587
623,False,2015-03-10 02:00:00,2015-03-11 02:00:00,300234061504350,25.46356,25.39897,141.31026,141.33598,0.0794,-0.1623
641,False,2015-03-10 17:00:00,2015-03-11 17:00:00,300234061508320,19.55907,19.49568,110.9744,110.88717,-0.2873,-0.1906
293,False,2015-03-11 02:00:00,2015-03-12 02:00:00,300234060526170,36.85896,36.94245,-25.23818,-25.16639,0.2812,0.0865
123,False,2015-03-11 16:00:00,2015-03-12 16:00:00,300234011599570,59.04093,59.14376,-6.00016,-5.70167,0.4158,0.3139
